,University,Department,Overall Pay,Living Wage Ratio,Academic Year,Program Year,Comments,12M Gross Pay,9M Gross Pay,3M Gross Pay,Fees,Aggregate Department
257,Northeastern University,english,21250,0.74,2019,4th,,"$21,500",,,$250,english
258,Northeastern University,sociology,33750,1.18,2019,1st,"Original stipend was 22,500.<br>But got their CSSH scholar award,<br>which gives you summer funding for 5 <span class=""truncated""> years as well.<br> Adds 11,250 to the base stipend.</span>","$33,750",,,,sociology
259,Harvard University,romance languages and literatures,35676,1.25,2019,1st,,,"$29,730","$5,946",,romance languages and literatures
260,Boston University,,23340,0.81,2019,5th,,"$23,340",,,,
261,MIT,economics,40000,1.43,2019,1st,,,"$40,000",,,economics
262,Boston University,graduate program for neuroscience,35000,1.22,2019,1st,,"$35,000",,,,graduate program for neuroscience
263,MIT,economics,40000,1.43,2019,1st,,,"$40,000",,,economics
264,MIT,economics,40000,1.43,2019,1st,,,"$40,000",,,economics
265,Harvard University,economics,46000,1.61,2019,1st,,,"$46,000",,,economics
266,Harvard University,psychology,35676,1.25,2019,1st,,"$35,676",,,,psychology
267,Harvard University,linguistics,35676,1.25,2019,1st,"I had posted an earlier result about the total 1st yr stipend being 33,730 USD for 2019-2020.<br>That <span class=""truncated""> was the approximate amount told to me during my informal acceptance.<br>But the actual stipend offer I received in my official acceptance letter is 35676 USD.</span>","$35,676",,,,linguistics
268,Harvard University,education,39676,1.39,2019,1st,"$29,730 base academic year stipend + $5,946 summer award + $4000 presidential scholarship.<br>No <span class=""truncated""> TA-ing responsibilities until 3rd year.<br></span>","$39,676",,,,education
269,Harvard University,economics,38000,1.33,2019,1st,,"$38,000",,,,economics
270,MIT,eecs,41700,1.49,2019,1st,Medical insurance and tuition are paid for by the department and do not come out of stipend.,"$42,000",,,$300,eecs
271,Harvard University,government,36000,1.26,2019,2nd,,"$36,000",,,,government
272,Harvard University,school of engineering and applied sciences,37882,1.32,2019,1st,,"$37,932",,,$50,school of engineering and applied sciences
273,MIT,mechanical engineering,39396,1.41,2019,1st,,"$39,396",,,,mechanical engineering
274,Harvard University,school of engineering and applied sciences,37932,1.32,2019,1st,,"$37,932",,,,school of engineering and applied sciences
275,MIT,management,43000,1.54,2019,1st,,"$43,000",,,,management
276,Harvard University,neuroscience,39528,1.38,2019,5th,,"$39,528",,,,neuroscience
277,UMass Boston,chemistry,18200,0.64,2019,2nd,"Summer work is not guaranteed,<br>but if you do get a summer session,<br>it is $3500.<br>If you get both <span class=""truncated""> summer sessions,<br>it is $7000.
Insurance costs $3000,<br>and UMB reimburses about half.<br>Dental is about $700 I think and they reimburse half.<br>T passes are 11% discount or parking is ~$155/month.<br>A lot of us in Chemistry have second jobs.</span>",,"$19,000",,$800,chemistry
278,MIT,computer science,40885,1.46,2019,2nd,,"$41,000",,,$115,computer science
279,MIT,aeroastro,35988,1.29,2019,2nd,,"$35,988",,,,aeroastro
280,MIT,physics,39991,1.43,2019,2nd,,"$40,331",,,$340,physics
281,Boston University,anthropology/archaeology,23340,0.81,2019,2nd,"I think it&#39;s actually 8 rather than 9 months? I&#39;d have to check but I don&#39;t think I get paid after <span class=""truncated""> April.</span>",,"$23,340",,,anthropology/archaeology
282,MIT,electrical engineering and computer science,43150,1.55,2019,4th,,"$43,320",,,$170,electrical engineering and computer science
283,Harvard University,systems biology,39800,1.39,2019,2nd,,"$39,900",,,$100,systems biology
284,Boston University,earth and environment,33250,1.16,2019,3rd,,"$33,250",,,,earth and environment
285,MIT,physics,53000,1.9,2019,2nd,,"$55,000",,,"$2,000",physics
286,Harvard University,east asian languages and civilizations,35676,1.25,2019,1st,,,"$29,730","$5,946",,east asian languages and civilizations
